energy,f(M1),f(E1),T(M1),T(E1),gsf
0.001,1.49835e-07,1.14887e-09,9.41442e-16,1.6196e-17,1.5098387e-07
0.002,1.49672e-07,1.14971e-09,7.52332e-15,1.29606e-16,1.5082170999999998e-07
0.005,1.4918e-07,1.15222e-09,1.17166e-13,2.02691e-15,1.5033222e-07
0.01,1.48365e-07,1.15644e-09,9.32205e-13,1.62397e-14,1.4952144e-07
0.02,1.46748e-07,1.16499e-09,7.37636e-12,1.30312e-13,1.4791299e-07
0.05,1.42003e-07,1.18754e-09,1.11528e-10,2.0522e-12,1.4319054e-07
0.1,1.34435e-07,1.21663e-09,8.44677e-10,1.65776e-11,1.3565163e-07
0.2,1.20497e-07,1.27579e-09,6.05683e-09,1.35204e-10,1.2177279e-07
0.3,1.08017e-07,1.33854e-09,1.83247e-08,4.65522e-10,1.0935553999999999e-07
0.4,9.68442e-08,1.40897e-09,3.89434e-08,1.12806e-09,9.825317000000001e-08
0.5,8.68415e-08,1.48918e-09,6.82051e-08,2.25833e-09,8.833068e-08
0.6,7.78874e-08,1.58014e-09,1.05706e-07,4.01095e-09,7.946753999999999e-08
0.7,6.98729e-08,1.68185e-09,1.50585e-07,6.56273e-09,7.155475e-08
0.8,6.27001e-08,1.79472e-09,2.01706e-07,1.01177e-08,6.449482e-08
0.9,5.62816e-08,1.91917e-09,2.57795e-07,1.49118e-08,5.820077e-08
1.0,5.0539e-08,2.05561e-09,3.17546e-07,2.12171e-08,5.2594610000000004e-08
1.1,4.5402e-08,2.20412e-09,3.79693e-07,2.93451e-08,4.760612e-08
1.2,4.08077e-08,2.36493e-09,4.43063e-07,3.96527e-08,4.317263e-08
1.3,3.66997e-08,2.53871e-09,5.06609e-07,5.25526e-08,3.923841e-08
1.4,3.30277e-08,2.72496e-09,5.69433e-07,6.84985e-08,3.575266e-08
1.5,2.97465e-08,2.9243e-09,6.30797e-07,8.80179e-08,3.2670800000000004e-08
1.6,2.68155e-08,3.13754e-09,6.90122e-07,1.11715e-07,2.9953039999999996e-08
1.7,2.41986e-08,3.36442e-09,7.46994e-07,1.40245e-07,2.756302e-08
1.8,2.18633e-08,3.60554e-09,8.01148e-07,1.74362e-07,2.5468840000000003e-08
1.9,1.97805e-08,3.86118e-09,8.5247e-07,2.14903e-07,2.3641679999999998e-08
2.0,1.79244e-08,4.13196e-09,9.00978e-07,2.62815e-07,2.205636e-08
2.2,1.48011e-08,4.72036e-09,9.90243e-07,3.85051e-07,1.952146e-08
2.4,1.23351e-08,5.37356e-09,1.07141e-06,5.50863e-07,1.770866e-08
2.6,1.03998e-08,6.09604e-09,1.14848e-06,7.72379e-07,1.649584e-08
2.8,8.89385e-09,6.89239e-09,1.22672e-06,1.06441e-06,1.578624e-08
3.0,7.73652e-09,7.76632e-09,1.31247e-06,1.44476e-06,1.550284e-08
3.2,6.86352e-09,8.72235e-09,1.41311e-06,1.93485e-06,1.558587e-08
3.4,6.22389e-09,9.76392e-09,1.53702e-06,2.5599e-06,1.598781e-08
3.6,5.77743e-09,1.09083e-08,1.69364e-06,3.35357e-06,1.668573e-08
3.8,5.49272e-09,1.21475e-08,1.89373e-06,4.34843e-06,1.7640220000000002e-08
4.0,5.34549e-09,1.34893e-08,2.14955e-06,5.58659e-06,1.8834790000000002e-08
4.5,5.47007e-09,1.73589e-08,3.13192e-06,1.00956e-05,2.2828970000000002e-08
5.0,6.18398e-09,2.20654e-08,4.85689e-06,1.74759e-05,2.8249380000000002e-08
5.5,7.45068e-09,2.7784e-08,7.78869e-06,2.91639e-05,3.523468e-08
6.0,9.32891e-09,3.46955e-08,1.26609e-05,4.71814e-05,4.402441e-08
6.5,1.19403e-08,4.30779e-08,2.06033e-05,7.44029e-05,5.5018199999999994e-08
7.0,1.53953e-08,5.32526e-08,3.3179e-05,0.000114819,6.86479e-08
7.5,1.95894e-08,6.56291e-08,5.19261e-05,0.000174002,8.52185e-08
8.0,2.38075e-08,8.07041e-08,7.65886e-05,0.000259651,1.045116e-07
8.5,2.64905e-08,9.91069e-08,0.000102218,0.000382439,1.255974e-07
9.0,2.61527e-08,1.21601e-07,0.000119791,0.000557001,1.477537e-07
9.5,2.30111e-08,1.49064e-07,0.000123962,0.000803023,1.720751e-07
10.0,1.87131e-08,1.82405e-07,0.000117578,0.00114609,2.011181e-07
10.5,1.4654e-08,2.22778e-07,0.000106587,0.0016204,2.37432e-07
11.0,1.13704e-08,2.71247e-07,9.50898e-05,0.00226842,2.826174e-07
11.5,8.87595e-09,3.29454e-07,8.4818e-05,0.00314824,3.3832994999999996e-07
12.0,7.01707e-09,3.99502e-07,7.61868e-05,0.00433753,4.0651907e-07
12.5,5.63011e-09,4.83864e-07,6.90918e-05,0.0059379,4.8949411e-07
13.0,4.58447e-09,5.84677e-07,6.32847e-05,0.00807097,5.8926147e-07
13.5,3.78509e-09,7.0201e-07,5.85137e-05,0.0108524,7.0579509e-07
14.0,3.16482e-09,8.3042e-07,5.45649e-05,0.0143173,8.3358482e-07
14.5,2.67645e-09,9.57027e-07,5.12676e-05,0.0183319,9.5970345e-07
15.0,2.2866e-09,1.05924e-06,4.84891e-05,0.022462,1.0615266e-06
15.5,1.97142e-09,1.11472e-06,4.6127e-05,0.026082,1.11669142e-06
16.0,1.71363e-09,1.10885e-06,4.41018e-05,0.0285373,1.11056363e-06
16.5,1.50051e-09,1.04489e-06,4.23518e-05,0.0294917,1.0463905100000001e-06
17.0,1.32263e-09,9.44219e-07,4.08286e-05,0.0291474,9.4554163e-07
17.5,1.17283e-09,8.30609e-07,3.94939e-05,0.0279699,8.3178183e-07
18.0,1.04567e-09,7.19137e-07,3.83171e-05,0.0263517,7.2018267e-07
18.5,9.36931e-10,6.17739e-07,3.72737e-05,0.0245754,6.18675931e-07
19.0,8.43314e-10,5.29111e-07,3.63438e-05,0.0228028,5.29954314e-07
19.5,7.62216e-10,4.53869e-07,3.55109e-05,0.0211453,4.54631216e-07
20.0,6.91563e-10,3.90942e-07,3.47617e-05,0.0196509,3.91633563e-07
21.0,5.75225e-10,2.9574e-07,3.34715e-05,0.0172087,2.9631522500000004e-07
